,filename,distance,result
0,C100P61ThinF_IMG_20150918_144823_cell_158,3.55683333407197,Parasitized
1,C100P61ThinF_IMG_20150918_145422_cell_166,3.4471390291551622,Parasitized
2,C100P61ThinF_IMG_20150918_145938_cell_75,3.5468197652186415,Parasitized
3,C101P62ThinF_IMG_20150918_151006_cell_81,3.7656646170820762,Parasitized
4,C101P62ThinF_IMG_20150918_151149_cell_73,3.757174586890609,Parasitized
5,C101P62ThinF_IMG_20150918_151149_cell_85,3.5063954153257857,Parasitized
6,C101P62ThinF_IMG_20150918_151507_cell_61,3.579642184582544,Parasitized
7,C101P62ThinF_IMG_20150918_151942_cell_4,3.7241914249572825,Parasitized
8,C101P62ThinF_IMG_20150918_155731_cell_61,3.599534138901001,Parasitized
9,C101P62ThinF_IMG_20150918_155731_cell_75,3.5880374881224206,Parasitized
10,C101P62ThinF_IMG_20150923_170344_cell_70,3.6998690924695583,Parasitized
11,C101P62ThinF_IMG_20150923_170344_cell_74,3.738645307511543,Parasitized
12,C101P62ThinF_IMG_20150923_170344_cell_99,3.556452905089111,Parasitized
13,C103P64ThinF_IMG_20150918_164331_cell_119,3.693235715531702,Parasitized
14,C103P64ThinF_IMG_20150918_164553_cell_160,3.808683437032012,Parasitized
15,C103P64ThinF_IMG_20150918_165510_cell_181,3.5094890623557577,Parasitized
16,C104P65ThinF_IMG_20150918_171154_cell_163,3.5386737486043613,Parasitized
17,C104P65ThinF_IMG_20150918_172247_cell_126,3.6967226339622776,Parasitized
18,C104P65ThinF_IMG_20150918_172639_cell_182,3.8176957141411654,Parasitized
19,C105P66ThinF_IMG_20150924_094800_cell_62,3.6942995116650033,Parasitized
20,C105P66ThinF_IMG_20150924_095716_cell_3,3.600488064561689,Parasitized
21,C107P68ThinF_IMG_20150924_221909_cell_134,3.6424458626636227,Parasitized
22,C107P68ThinF_IMG_20150924_222233_cell_162,3.580462079415409,Parasitized
23,C107P68ThinF_IMG_20150924_222233_cell_66,3.7481342634868744,Parasitized
24,C107P68ThinF_IMG_20150924_222535_cell_140,3.4618465151162074,Parasitized
25,C107P68ThinF_IMG_20150924_222535_cell_146,3.5486863210739674,Parasitized
26,C108P69ThinF_IMG_20150924_224038_cell_36,3.583118421360754,Parasitized
27,C108P69ThinF_IMG_20150924_224038_cell_85,3.783863412999464,Parasitized
28,C109P70ThinF_IMG_20150930_102812_cell_136,3.753018162492749,Parasitized
29,C109P70ThinF_IMG_20150930_103645_cell_76,3.709884326653594,Parasitized
30,C110P71ThinF_IMG_20150930_110404_cell_43,3.7163070422273137,Parasitized
31,C111P72ThinF_IMG_20150930_112609_cell_103,3.6450906396089957,Parasitized
32,C111P72ThinF_IMG_20150930_113610_cell_169,3.753712718292855,Parasitized
33,C112P73ThinF_IMG_20150930_131900_cell_167,3.6309847147417997,Parasitized
34,C112P73ThinF_IMG_20150930_131900_cell_62,3.4942365839145912,Parasitized
35,C113P74ThinF_IMG_20150930_134429_cell_178,3.535553987121859,Parasitized
36,C113P74ThinF_IMG_20150930_134429_cell_182,3.3635768928568757,Parasitized
37,C113P74ThinF_IMG_20150930_134614_cell_176,3.577455617875346,Parasitized
38,C113P74ThinF_IMG_20150930_134751_cell_164,3.492540380244159,Parasitized
39,C113P74ThinF_IMG_20150930_134751_cell_179,3.5125019291175787,Parasitized
40,C113P74ThinF_IMG_20150930_134949_cell_60,3.6983666403511055,Parasitized
41,C113P74ThinF_IMG_20150930_135904_cell_18,3.5609055372650924,Parasitized
42,C113P74ThinF_IMG_20150930_135904_cell_180,3.9251023514508456,Parasitized
43,C113P74ThinF_IMG_20150930_135904_cell_184,3.5127830279218704,Parasitized
44,C113P74ThinF_IMG_20150930_140646_cell_122,3.524218039580605,Parasitized
45,C114P75ThinF_IMG_20150930_150013_cell_195,3.536614267264292,Parasitized
46,C114P75ThinF_IMG_20150930_151150_cell_177,3.5526034048475723,Parasitized
47,C114P75ThinF_IMG_20150930_151150_cell_178,3.588914593410663,Parasitized
48,C115P76ThinF_IMG_20150930_162038_cell_183,3.744199528036728,Parasitized
49,C115P76ThinF_IMG_20150930_162038_cell_36,3.515932455933422,Parasitized
50,C117P78ThinF_IMG_20150930_214511_cell_62,3.734166227347783,Parasitized
51,C117P78ThinF_IMG_20150930_214511_cell_91,3.1573347590792205,Parasitized
52,C117P78ThinF_IMG_20150930_214941_cell_16,3.74579042323876,Parasitized
53,C118P79ThinF_IMG_20151002_105735_cell_10,3.6413360108108876,Parasitized
54,C118P79ThinF_IMG_20151002_105827_cell_134,3.524360652483538,Parasitized
55,C118P79ThinF_IMG_20151002_110002_cell_5,3.5303144449281993,Parasitized
56,C118P79ThinF_IMG_20151002_110725_cell_140,3.416449753490253,Parasitized
57,C119P80ThinF_IMG_20151002_122720_cell_132,3.6578369880971815,Parasitized
58,C119P80ThinF_IMG_20151002_122720_cell_147,3.652411247455021,Parasitized
59,C119P80ThinF_IMG_20151002_123043_cell_165,3.5901482331240335,Parasitized
60,C119P80ThinF_IMG_20151002_124304_cell_131,3.516330179751692,Parasitized
61,C120P81ThinF_IMG_20151002_130918_cell_196,3.488400812647849,Parasitized
62,C120P81ThinF_IMG_20151002_130918_cell_197,3.54295164456675,Parasitized
63,C120P81ThinF_IMG_20151002_130918_cell_44,3.800521062519624,Parasitized
64,C120P81ThinF_IMG_20151002_130918_cell_45,3.529948723818512,Parasitized
65,C121P82ThinF_IMG_20151002_133540_cell_21,3.7426312889892364,Parasitized
66,C121P82ThinF_IMG_20151002_133540_cell_35,3.543593532516744,Parasitized
67,C122P83ThinF_IMG_20151002_144610_cell_42,4.366849375535052,Parasitized
68,C122P83ThinF_IMG_20151002_145918_cell_95,3.9331097172508334,Parasitized
69,C122P83ThinF_IMG_20151002_150207_cell_114,3.7488271289550523,Parasitized
70,C123P84ThinF_IMG_20151002_151432_cell_146,3.5496745545759794,Parasitized
71,C123P84ThinF_IMG_20151002_151851_cell_130,3.96142000323378,Parasitized
72,C124P85ThinF_IMG_20151002_153825_cell_189,3.980012289087371,Parasitized
73,C124P85ThinF_IMG_20151002_155101_cell_170,3.789403851427667,Parasitized
74,C126P87ThinF_IMG_20151004_104728_cell_127,3.540705762943309,Parasitized
75,C126P87ThinF_IMG_20151004_105234_cell_102,3.5271303182990783,Parasitized
76,C127P88ThinF_IMG_20151004_111526_cell_82,3.9944218919492362,Parasitized
77,C128P89ThinF_IMG_20151004_130408_cell_156,3.372888784593277,Parasitized
78,C128P89ThinF_IMG_20151004_130408_cell_157,3.365201057221291,Parasitized
79,C128P89ThinF_IMG_20151004_130549_cell_145,3.542402833641725,Parasitized
80,C128P89ThinF_IMG_20151004_130549_cell_148,3.521273258483927,Parasitized
81,C128P89ThinF_IMG_20151004_130810_cell_154,3.9332590801169913,Parasitized
82,C128P89ThinF_IMG_20151004_131129_cell_157,3.5072427761738463,Parasitized
83,C128P89ThinF_IMG_20151004_131231_cell_140,3.4702161997928105,Parasitized
84,C128P89ThinF_IMG_20151004_131231_cell_160,3.386162374001828,Parasitized
85,C128P89ThinF_IMG_20151004_131231_cell_75,3.7596236298479355,Parasitized
86,C129P90ThinF_IMG_20151004_133329_cell_98,3.5914556508318203,Parasitized
87,C129P90ThinF_IMG_20151004_134520_cell_121,3.9074301184346085,Parasitized
88,C129P90ThinF_IMG_20151004_134636_cell_3,3.838940789367574,Parasitized
89,C129P90ThinF_IMG_20151004_134944_cell_7,3.604962557200176,Parasitized
90,C129P90ThinF_IMG_20151004_134944_cell_9,2.9389509161362413,Parasitized
