,filename,roundness,homogeneity,correlation,skewness,kurtosis,label
0,C1_thinF_IMG_20150604_104722_cell_81,0.0,1.0,1.0,0.0,0.0,Sehat
1,C1_thinF_IMG_20150604_104919_cell_173,0.0,1.0,1.0,0.0,0.0,Sehat
2,C1_thinF_IMG_20150604_104919_cell_82,0.0,1.0,1.0,0.0,0.0,Sehat
3,C1_thinF_IMG_20150604_104942_cell_102,0.0,1.0,1.0,0.0,0.0,Sehat
4,C1_thinF_IMG_20150604_104942_cell_11,0.0,1.0,1.0,0.0,0.0,Sehat
5,C1_thinF_IMG_20150604_104942_cell_139,0.0,1.0,1.0,0.0,0.0,Sehat
6,C1_thinF_IMG_20150604_104942_cell_151,0.0,1.0,1.0,0.0,0.0,Sehat
7,C1_thinF_IMG_20150604_104942_cell_152,0.0,1.0,1.0,0.0,0.0,Sehat
8,C1_thinF_IMG_20150604_104942_cell_154,0.0,1.0,1.0,0.0,0.0,Sehat
9,C1_thinF_IMG_20150604_104942_cell_156,0.0,1.0,1.0,0.0,0.0,Sehat
10,C1_thinF_IMG_20150604_104942_cell_168,0.0,1.0,1.0,0.0,0.0,Sehat
11,C1_thinF_IMG_20150604_104942_cell_185,0.0,1.0,1.0,0.0,0.0,Sehat
12,C1_thinF_IMG_20150604_104942_cell_203,0.0,1.0,1.0,0.0,0.0,Sehat
13,C1_thinF_IMG_20150604_104942_cell_209,0.0,1.0,1.0,0.0,0.0,Sehat
14,C1_thinF_IMG_20150604_104942_cell_218,0.0,1.0,1.0,0.0,0.0,Sehat
15,C1_thinF_IMG_20150604_104942_cell_269,0.0,1.0,1.0,0.0,0.0,Sehat
16,C1_thinF_IMG_20150604_104942_cell_98,0.0,1.0,1.0,0.0,0.0,Sehat
17,C1_thinF_IMG_20150604_105100_cell_232,0.0,1.0,1.0,0.0,0.0,Sehat
18,C1_thinF_IMG_20150604_105100_cell_43,0.0,1.0,1.0,0.0,0.0,Sehat
19,C1_thinF_IMG_20150604_105100_cell_53,0.0,1.0,1.0,0.0,0.0,Sehat
20,C2NThinF_IMG_20150604_114631_cell_99,0.0,1.0,1.0,0.0,0.0,Sehat
21,C2NThinF_IMG_20150604_114815_cell_217,0.0,1.0,1.0,0.0,0.0,Sehat
22,C2NThinF_IMG_20150604_114815_cell_73,0.0,1.0,1.0,0.0,0.0,Sehat
23,C2NThinF_IMG_20150604_115238_cell_247,0.0,1.0,1.0,0.0,0.0,Sehat
24,C2NThinF_IMG_20150604_115238_cell_259,0.0,0.9949870889064533,0.8215333661844095,14.58905091317485,213.07204530153186,Sehat
25,C33P1thinF_IMG_20150619_114756a_cell_36,0.0,1.0,1.0,0.0,0.0,Sehat
26,C33P1thinF_IMG_20150619_115808a_cell_55,0.0,1.0,1.0,0.0,0.0,Sehat
27,C33P1thinF_IMG_20150619_120838a_cell_94,0.0,1.0,1.0,0.0,0.0,Sehat
28,C33P1thinF_IMG_20150619_121102a_cell_60,0.0,1.0,1.0,0.0,0.0,Sehat
29,C33P1thinF_IMG_20150619_121102a_cell_62,0.0,1.0,1.0,0.0,0.0,Sehat
30,C3thin_original_IMG_20150608_163002_cell_195,0.6339842081226807,0.8192628336637388,0.9357704007285483,0.9358779771448805,-1.1218560407810985,Sehat
31,C3thin_original_IMG_20150608_163002_cell_81,0.0,1.0,1.0,0.0,0.0,Sehat
32,C3thin_original_IMG_20150608_163047_cell_161,0.0,0.9992973122611173,0.33134201151017056,45.084127285484904,2030.8801538215741,Sehat
33,C4thin_original_IMG_20150608_165620_cell_130,0.0,1.0,1.0,0.0,0.0,Sehat
34,C4thin_original_IMG_20150608_165620_cell_161,0.0,0.9996808879913305,0.21676405751126263,75.15363467035567,5711.294377030581,Sehat
35,C4thin_original_IMG_20150608_165620_cell_194,0.0,1.0,1.0,0.0,0.0,Sehat
36,C4thin_original_IMG_20150608_165620_cell_39,0.0,1.0,1.0,0.0,0.0,Sehat
37,C4thin_original_IMG_20150608_165908_cell_164,0.0,1.0,1.0,0.0,0.0,Sehat
38,C4thin_original_IMG_20150608_165908_cell_70,0.0,1.0,1.0,0.0,0.0,Sehat
39,C4thin_original_IMG_20150608_170038_cell_112,0.0,1.0,1.0,0.0,0.0,Sehat
40,C117P78ThinF_IMG_20150930_214138_cell_94,0.7731892082606586,0.9926747388752004,0.8884381027119054,11.518381608109333,131.94371079792634,Tropozoit
41,C118P79ThinF_IMG_20151002_105018_cell_137,0.7991456438750344,0.9905273021335108,0.9064579680360735,9.718407764739839,93.34626195373816,Tropozoit
42,C119P80ThinF_IMG_20151002_123911_cell_144,0.7446960075737875,0.9919177511658895,0.8251996797538816,11.558779024319152,132.98559039240308,Tropozoit
43,C119P80ThinF_IMG_20151002_124304_cell_161,0.631401217434252,0.9833455925331769,0.9167270135325036,7.417518267048192,54.378038987925244,Tropozoit
44,C123P84ThinF_IMG_20151002_150931_cell_207,0.8204738076175417,0.9908583477050588,0.8661078610436451,11.521247719020273,137.60905827634122,Tropozoit
45,C123P84ThinF_IMG_20151002_151143_cell_188,0.803080404018562,0.9892612699446968,0.8665925850354436,10.268635782173945,108.09903263440538,Tropozoit
46,C130P91ThinF_IMG_20151004_141504_cell_145,0.8665494551096452,0.9885844262396767,0.8884404338888111,9.3832458091263,88.84628987494911,Tropozoit
47,C132P93ThinF_IMG_20151004_152045_cell_113,0.7197493493941444,0.9808557051144734,0.8840664557889921,7.569113878603457,57.153173943376395,Tropozoit
48,C133P94ThinF_IMG_20151004_155721_cell_115,0.8204453880958962,0.9881247952792435,0.8416584053346526,10.494979724693064,114.04782670131766,Tropozoit
49,C136P97ThinF_IMG_20151005_141803_cell_109,0.7860523317173579,0.9825619207106812,0.897969851177475,7.619156788614499,57.51264015369348,Tropozoit
50,C136P97ThinF_IMG_20151005_143329_cell_97,0.7903550429985786,0.9807169670286127,0.9074708006216547,6.8721290546711415,46.057000805339065,Tropozoit
51,C137P98ThinF_IMG_20151005_163712_cell_83,0.8081016874108253,0.9870718710647203,0.879377045160847,9.234851168003878,86.44728490078454,Tropozoit
52,C140P101ThinF_IMG_20151005_205406_cell_163,0.9205038914737649,0.9920924651831537,0.8348312976493394,12.504990231760514,161.69612295186815,Tropozoit
53,C140P101ThinF_IMG_20151005_210309_cell_180,0.8328759102536356,0.9905214944246881,0.8576732498391157,10.626233453754127,114.00907857244775,Tropozoit
54,C140P101ThinF_IMG_20151005_211530_cell_147,0.7968007101766892,0.9907698998021034,0.8586331443798282,11.006976560685997,124.0557113491038,Tropozoit
55,C140P101ThinF_IMG_20151005_211530_cell_155,0.7380920879443175,0.9909019595825436,0.8420972913014674,11.463725545553807,134.2155751752399,Tropozoit
56,C141P102ThinF_IMG_20151005_214836_cell_148,0.8168973416003559,0.9857254810554106,0.9195551209658444,8.051270177897592,64.24860528739488,Tropozoit
57,C142P103ThinF_IMG_20151005_221900_cell_194,0.7267722251639037,0.9885308125574562,0.8818539709687625,9.428807991382772,89.63092823096788,Tropozoit
58,C33P1thinF_IMG_20150619_115808a_cell_206,0.8153840212681085,0.9904108235001441,0.8098024185143273,11.84644568321912,145.76105828350626,Tropozoit
